pais,cidade,temperatura,temperatura_min,temperatura_max,descricao,data_requisicao
BR,Recife,25.32000000000005,23.910000000000025,25.32000000000005,nublado,230809
BR,Recife,24.32000000000005,23.470000000000027,24.32000000000005,nuvens dispersas,230809
BR,Recife,23.010000000000048,23.010000000000048,23.010000000000048,céu limpo,230809
BR,Recife,23.150000000000034,23.150000000000034,23.150000000000034,algumas nuvens,230809
BR,Recife,26.07000000000005,26.07000000000005,26.07000000000005,algumas nuvens,230809
BR,Recife,26.640000000000043,26.640000000000043,26.640000000000043,chuva leve,230809
BR,Recife,25.879999999999995,25.879999999999995,25.879999999999995,chuva leve,230809
BR,Recife,24.210000000000036,24.210000000000036,24.210000000000036,chuva leve,230809
BR,Recife,23.600000000000023,23.600000000000023,23.600000000000023,chuva leve,230809
BR,Recife,23.74000000000001,23.74000000000001,23.74000000000001,chuva leve,230809
BR,Recife,23.439999999999998,23.439999999999998,23.439999999999998,chuva leve,230809
BR,Recife,23.430000000000007,23.430000000000007,23.430000000000007,chuva leve,230809
BR,Recife,25.420000000000016,25.420000000000016,25.420000000000016,chuva leve,230809
BR,Recife,26.04000000000002,26.04000000000002,26.04000000000002,chuva leve,230809
BR,Recife,25.370000000000005,25.370000000000005,25.370000000000005,chuva leve,230809
BR,Recife,24.120000000000005,24.120000000000005,24.120000000000005,chuva leve,230809
BR,Recife,23.82000000000005,23.82000000000005,23.82000000000005,chuva leve,230809
BR,Recife,23.54000000000002,23.54000000000002,23.54000000000002,chuva leve,230809
BR,Recife,23.010000000000048,23.010000000000048,23.010000000000048,chuva leve,230809
BR,Recife,22.900000000000034,22.900000000000034,22.900000000000034,chuva leve,230809
BR,Recife,25.410000000000025,25.410000000000025,25.410000000000025,chuva leve,230809
BR,Recife,26.680000000000007,26.680000000000007,26.680000000000007,algumas nuvens,230809
BR,Recife,26.24000000000001,26.24000000000001,26.24000000000001,algumas nuvens,230809
BR,Recife,24.08000000000004,24.08000000000004,24.08000000000004,céu limpo,230809
BR,Recife,23.75,23.75,23.75,chuva leve,230809
BR,Recife,23.010000000000048,23.010000000000048,23.010000000000048,chuva leve,230809
BR,Recife,22.879999999999995,22.879999999999995,22.879999999999995,chuva leve,230809
BR,Recife,22.879999999999995,22.879999999999995,22.879999999999995,chuva leve,230809
BR,Recife,24.370000000000005,24.370000000000005,24.370000000000005,chuva leve,230809
BR,Recife,25.170000000000016,25.170000000000016,25.170000000000016,chuva leve,230809
BR,Recife,26.0,26.0,26.0,chuva leve,230809
BR,Recife,24.220000000000027,24.220000000000027,24.220000000000027,céu limpo,230809
BR,Recife,23.600000000000023,23.600000000000023,23.600000000000023,chuva leve,230809
BR,Recife,23.710000000000036,23.710000000000036,23.710000000000036,chuva leve,230809
BR,Recife,23.160000000000025,23.160000000000025,23.160000000000025,chuva leve,230809
BR,Recife,23.480000000000018,23.480000000000018,23.480000000000018,chuva leve,230809
BR,Recife,25.700000000000045,25.700000000000045,25.700000000000045,chuva leve,230809
BR,Recife,26.83000000000004,26.83000000000004,26.83000000000004,algumas nuvens,230809
BR,Recife,26.220000000000027,26.220000000000027,26.220000000000027,algumas nuvens,230809
BR,Recife,24.0,24.0,24.0,chuva leve,230809
